x,y1,y2,y3,y4,y5,y6
1969.5833333,128.29368781,179.13130163,132.51157761,98.504225222,103.34339257,130.0576211
1969.6666667,134.2978324,180.31356822,127.51589113,99.656724657,99.168319507,130.7079092
1969.75,130.295757,182.54945647,123.44813421,103.09488166,98.404723447,131.51829824
1969.8333333,136.8887223,189.68714022,119.62124205,103.21859552,96.298862365,132.30740803
1969.9166667,131.70063973,185.03980528,118.17382502,104.71526515,96.56849918,132.99540655
1970,128.2369129,178.06380462,114.81768839,107.37503289,94.849579894,133.84657715
1970.0833333,117.84972296,183.63720171,118.40000026,105.53891982,98.50128872,134.64965661
1970.1666667,123.89541374,178.60554238,123.05312027,103.09041688,101.20022403,135.48448449
1970.25,122.58212236,174.31900936,127.96293977,102.04920367,105.57207371,136.25674605
1970.3333333,109.0980889,163.21488847,135.85825316,101.34506417,112.18088552,136.93802978
1970.4166667,101.54850115,155.95182593,140.36874716,100.07825086,116.57837624,137.66380133
1970.5,95.668842931,152.50529058,141.21095965,100.20835259,120.04075401,138.46225138
1970.5833333,102.29869375,151.55975777,142.49597938,99.95783171,122.21349166,139.18225509
1970.6666667,106.8919051,153.87862207,144.30567832,100.51759557,121.98128602,139.91992104
1970.75,111.35998673,166.95830494,136.34000487,100.81914835,114.85757892,140.67548862
1970.8333333,108.82097903,159.56205203,136.62631888,102.54315579,117.52227475,141.32259586
1970.9166667,113.82674407,153.40295683,138.9489663,104.14282902,119.26160442,141.9726798
1971,120.33763383,157.89766346,140.32456107,104.39277181,119.60746307,142.56896506
1971.0833333,126.1619753,169.80314729,142.40136457,102.31535565,119.67922755,143.11072713
1971.1666667,127.94085916,173.26713149,140.59286724,102.90878471,118.85344088,143.58299253
1971.25,133.22481664,177.18296866,134.92697469,104.79201547,115.64439797,144.0137415
1971.3333333,137.42139836,176.56282827,136.01988319,103.26205205,116.67363312,144.41697998
1971.4166667,131.95202671,174.60298088,134.10200284,104.69739457,116.95364984,144.83578922
1971.5,131.82007468,172.00139646,131.50042398,106.32020419,115.02391461,145.37168164
1971.5833333,125.88817132,169.55897663,131.48727394,106.92622935,116.73777094,145.95316837
1971.6666667,130.65933301,169.30463817,134.95853797,106.44506132,119.80797432,146.63914826
1971.75,129.54872868,169.77869116,131.03124452,109.15941038,117.90302753,147.18171311
1971.8333333,123.82267488,167.07920997,130.40229454,110.88412907,116.27596575,147.72628545
1971.9166667,123.25309057,162.28403664,128.18545554,113.55643658,115.89225506,148.2728727
1972,133.98843476,167.55826783,127.65989517,113.11356648,113.88731905,148.82148233
1972.0833333,137.32474679,177.81283382,130.55777479,111.21325856,114.4795331,149.25306463
1972.1666667,141.26596702,179.39536804,126.94132443,113.02603467,113.87279158,149.62619729
1972.25,142.15594261,178.55220981,124.87218084,114.84575383,113.70198239,150.03018802
1972.3333333,142.56819484,178.90931423,124.99705302,114.32894794,112.56496257,150.46527557
1972.4166667,144.35029728,173.32734363,121.59713318,117.0499769,110.40371529,150.9166714
1972.5,140.84258506,172.51270511,118.56936456,119.16858148,110.02834265,151.35432974
1972.5833333,139.71584438,167.73410318,119.35192237,120.52710331,109.31315843,151.82352817
1972.6666667,144.2705809,161.89695639,124.75856445,118.1768248,112.46137739,152.2638164
1972.75,142.62589628,158.30284396,125.3449297,120.20946618,110.24588826,152.78151337
1972.8333333,143.36755094,154.28195172,127.03708625,120.02915198,110.22383908,153.39263943
1972.9166667,149.96245828,153.30997543,133.17297752,117.65257477,113.9053153,153.96019219
1973,150.89222553,150.39708589,130.25648931,120.6880112,111.45635102,154.5298449
1973.0833333,145.92787131,146.15588807,133.74736323,121.14662565,112.45945818,155.20977622
1973.1666667,138.85036955,140.45580844,135.88732104,120.84375908,112.48195007,155.8461363
1973.25,137.04531474,137.1831881,139.44756885,119.58698399,113.20183456,156.56302853
1973.3333333,129.26114087,133.13628405,147.00562708,117.61379875,116.29224464,157.37715628
1973.4166667,125.46086332,124.9084617,147.60835015,119.89550645,114.53623174,158.17977978
1973.5,123.49112777,121.77325931,149.36488952,119.57178858,114.77675783,158.98649665
1973.5833333,129.72742972,130.61399793,141.50829633,119.51200269,111.02355785,160.00401023
1973.6666667,124.77184191,128.27600737,143.00828427,117.98224905,112.45576175,161.1240383
1973.75,130.6985044,132.85546083,146.21166984,115.26865732,114.42373758,162.21968176
1973.8333333,129.61370681,132.45689445,148.55105656,113.15924089,117.49029374,163.2741097
1973.9166667,113.08795919,122.82727823,154.47824371,110.23973248,119.47587971,164.18844471
1974,113.77779574,117.10352706,160.56468651,107.27428368,122.35524841,165.23925076
1974.0833333,113.58437349,129.27058352,170.19856771,103.86296145,127.83676354,166.28025804
1974.1666667,113.05052694,129.42570822,174.4535319,101.92072408,131.18608674,167.24468353
1974.25,109.87380713,132.80371921,174.24418766,104.76431228,131.77642413,168.18125376
1974.3333333,104.06148273,131.88737354,175.76011209,107.78152447,134.51737376,169.44261316
1974.4166667,99.19140534,127.82524244,172.12187777,113.09515363,133.97930426,170.71343276
1974.5,96.384288569,127.85080749,173.48164061,113.79634358,137.86470408,171.73771336
1974.5833333,88.625353339,130.30554299,182.45064143,110.08658278,144.20648047,172.93987735
1974.6666667,80.338882802,130.6443374,187.26733836,109.77834035,147.95584896,173.97751662
1974.75,70.882996296,132.5778736,197.73558257,104.91515987,156.71483522,175.3867345
1974.8333333,82.2951587,123.53606262,178.19930702,104.68434652,152.21711945,176.28120685
