x,y1,y2,y3,y4
1988.0833333,-0.2,12,2,100
1988.1666667,10.4,14,5,100
1988.25,10.3,19,9,33
1988.3333333,6.6,19,10,0
1988.4166667,8.1,24,13,27
1988.5,9.7,26,14,42
1988.5833333,5.7,24,12,33
1988.6666667,1.2,20,10,22
1988.75,0.6,11,5,0
1988.8333333,2.6,25,13,9
1988.9166667,-0.6,13,3,0
1989,1.5,20,6,0
1989.0833333,0.6,8,3,0
1989.1666667,6.8,13,3,0
1989.25,14.6,11,1,0
1989.3333333,13.8,12,8,75
1989.4166667,8.5,24,10,57
1989.5,6.5,17,12,56
1989.5833333,3.6,18,11,36
1989.6666667,14.6,15,10,57
1989.75,10.7,13,8,80
1989.8333333,12.8,17,11,89
1989.9166667,5.7,31,14,20
1990,5.2,25,19,28
1990.0833333,8,12,4,0
1990.1666667,8.7,13,8,60
1990.25,8.8,19,13,46
1990.3333333,8.9,22,17,56
1990.4166667,17.4,19,14,50
1990.5,16.8,22,16,86
1990.5833333,9.5,24,19,54
1990.6666667,6.3,15,9,0
1990.75,5.7,7,5,0
1990.8333333,0.6,4,2,0
1990.9166667,,5,0,
1991,14.5,10,3,100
1991.0833333,26.5,4,2,0
1991.1666667,23,7,5,67
1991.25,15.5,18,14,58
1991.3333333,16.1,28,20,90
1991.4166667,8,28,24,52
1991.5,6.8,47,40,37
1991.5833333,6.4,38,31,24
1991.6666667,12.1,35,28,55
1991.75,17.2,23,17,87
1991.8333333,14.3,46,37,58
1991.9166667,14.4,51,37,56
1992,10.7,42,32,44
1992.0833333,18.1,42,32,70
1992.1666667,16.1,46,38,62
1992.25,11,67,57,56
1992.3333333,3.3,45,37,26
1992.4166667,4.5,48,40,3
1992.5,3.2,44,37,12
1992.5833333,5.4,34,26,13
1992.6666667,4.6,36,31,5
1992.75,10,22,16,55
1992.8333333,12.6,51,42,32
1992.9166667,22.2,27,18,67
1993,16.7,47,37,66
1993.0833333,11.2,22,19,76
1993.1666667,18.3,36,30,67
1993.25,12.9,62,57,60
1993.3333333,14.2,31,25,35
1993.4166667,9.5,48,33,58
1993.5,14.4,57,45,53
1993.5833333,12,58,48,35
1993.6666667,12.6,54,46,39
1993.75,18.9,47,36,53
1993.8333333,14.1,58,48,48
1993.9166667,10.1,78,61,46
1994,8.9,76,61,24
1994.0833333,9.8,26,22,41
1994.1666667,13.8,62,49,57
1994.25,8.4,61,46,51
1994.3333333,7.3,48,34,11
1994.4166667,6.7,71,49,16
1994.5,7.5,53,39,10
1994.5833333,6.5,41,22,10
1994.6666667,6.6,43,29,18
1994.75,18.7,37,28,45
1994.8333333,11,46,31,38
1994.9166667,11.8,44,30,33
1995,10.3,36,24,25
1995.0833333,9.2,18,10,13
1995.1666667,20.9,37,25,55
1995.25,22.9,29,26,50
1995.3333333,20.7,31,24,72
1995.4166667,25.8,35,29,65
1995.5,18.9,55,49,59
1995.5833333,22.3,50,43,53
1995.6666667,27.6,53,37,74
1995.75,18.9,35,32,62
1995.8333333,11.1,62,50,50
1995.9166667,28.6,84,69,50
1996,19.3,77,63,44
1996.0833333,22.5,29,22,50
1996.1666667,19.8,65,58,54
1996.25,17.7,73,61,44
1996.3333333,27.9,67,53,56
1996.4166667,28.8,94,76,69
1996.5,14.7,87,73,48
1996.5833333,11,66,49,12
1996.6666667,8.9,58,51,9
1996.75,20.6,59,46,53
1996.8333333,11.5,106,90,45
1996.9166667,12.2,81,60,38
1997,12.1,60,36,10
1997.0833333,12.7,35,26,24
1997.1666667,12.3,62,48,32
1997.25,10,39,29,17
1997.3333333,7.8,33,22,13
1997.4166667,16.9,43,28,18
1997.5,14.8,63,53,50
1997.5833333,18,55,44,55
1997.6666667,15.9,48,35,58
1997.75,23.9,54,39,74
1997.8333333,20.3,65,55,61
1997.9166667,6.9,80,64,34
1998,6,35,30,19
1998.0833333,11.1,21,13,20
1998.1666667,15.6,51,40,40
1998.25,18.5,41,29,61
1998.3333333,22.7,42,34,66
1998.4166667,12.1,51,37,47
1998.5,9.3,61,47,16
1998.5833333,16.8,50,38,29
1998.6666667,14.2,20,17,27
1998.75,163.2,7,1,100
1998.8333333,22.8,6,2,50
1998.9166667,90.6,19,11,44
1999,79.4,23,14,77
1999.0833333,121.4,26,9,78
1999.1666667,57.4,36,30,61
1999.25,95,22,19,78
1999.3333333,75.2,37,33,61
1999.4166667,53,55,49,77
1999.5,37.1,60,52,48
1999.5833333,61.7,64,60,76
1999.6666667,40.9,40,38,29
1999.75,77.8,43,40,66
1999.8333333,73.5,62,56,64
1999.9166667,101.8,58,51,76
2000,115.3,41,39,89
2000.0833333,92.3,15,13,67
2000.1666667,113.2,60,58,94
2000.25,85.7,60,52,86
2000.3333333,30.5,37,34,39
2000.4166667,32.8,23,21,19
2000.5,44.6,36,31,26
2000.5833333,58.4,46,41,68
2000.6666667,30.3,65,63,38
2000.75,41.4,25,24,63
2000.8333333,18.7,26,19,44
2000.9166667,15.8,22,18,12
2001,25.4,9,7,14
2001.0833333,18.6,10,3,0
2001.1666667,5.7,10,7,17
2001.25,5.7,15,9,11
2001.3333333,11.3,4,2,50
2001.4166667,25.4,12,8,75
2001.5,10.1,16,14,50
2001.5833333,14.4,15,7,29
2001.6666667,8.1,5,4,0
2001.75,,6,0,
2001.8333333,14.8,10,7,43
2001.9166667,15.3,16,9,50
2002,17.3,13,10,40
2002.0833333,7.8,6,3,33
2002.1666667,19.8,9,5,40
2002.25,7.2,15,6,67
2002.3333333,8.8,14,7,67
2002.4166667,8.9,18,14,46
2002.5,6.2,17,10,22
2002.5833333,2.9,12,5,0
2002.6666667,,7,0,
2002.75,,9,0,
2002.8333333,1.9,20,6,0
2002.9166667,6.7,23,7,14
2003,14.6,10,3,58
2003.0833333,,1,0,
2003.1666667,-3.3,6,3,0
2003.25,,4,0,
2003.3333333,,3,0,
2003.4166667,31.4,5,1,100
2003.5,25.6,10,1,100
2003.5833333,22.5,16,8,88
2003.6666667,17.9,11,2,100
2003.75,10.6,13,6,67
2003.8333333,11.7,15,11,40
2003.9166667,9,20,15,53
2004,9.3,28,16,36
2004.0833333,28,11,3,67
2004.1666667,14.9,26,16,60
2004.25,5.4,22,9,13
2004.3333333,25,19,11,40
2004.4166667,9.2,20,13,31
2004.5,9.7,32,23,27
2004.5833333,5.2,34,22,5
2004.6666667,0.5,22,11,10
2004.75,12.8,20,10,22
2004.8333333,14.9,40,21,60
2004.9166667,18.6,21,12,58
2005,15.6,36,23,59
2005.0833333,12.2,14,8,50
2005.1666667,5.6,32,20,35
2005.25,16.5,13,7,43
2005.3333333,6.2,13,7,17
2005.4166667,5.4,21,10,33
2005.5,7.9,34,17,24
2005.5833333,15.3,29,14,57
2005.6666667,10.4,37,25,56
2005.75,4.5,20,14,29
2005.8333333,13.2,23,12,27
2005.9166667,20.8,21,15,47
2006,6.2,23,12,33
2006.0833333,18.7,16,10,44
2006.1666667,9.5,23,16,44
2006.25,12.8,14,7,50
2006.3333333,6.3,19,12,42
2006.4166667,7,17,13,42
2006.5,8.2,26,17,18
2006.5833333,0.4,17,5,0
2006.6666667,10,10,5,60
2006.75,15.6,18,8,57
2006.8333333,16.6,25,17,33
2006.9166667,10.5,32,26,40
2007,20.4,38,21,48
2007.0833333,11.8,18,8,38
2007.1666667,17.2,23,14,62
2007.25,10.1,21,12,73
2007.3333333,8.4,13,8,38
2007.4166667,5.2,28,26,27
2007.5,17.4,20,14,58
2007.5833333,12.1,19,15,36
2007.6666667,14.8,17,12,17
2007.75,56,5,2,50
2007.8333333,25.9,23,15,53
2007.9166667,12,39,21,43
2008,18,23,12,33
2008.0833333,21.2,14,3,0
2008.1666667,-3.7,8,3,0
2008.25,16.7,5,3,33
2008.3333333,26.7,5,2,50
2008.4166667,-1,7,4,25
2008.5,-7.4,5,2,0
2008.5833333,8.9,4,2,50
2008.6666667,-19.9,5,1,0
2008.75,,0,0,
2008.8333333,,0,0,
2008.9166667,-1.2,1,1,0
2009,,0,0,
2009.0833333,,1,0,
2009.1666667,10.1,2,1,100
2009.25,,2,0,
2009.3333333,22.6,7,2,50
2009.4166667,27.5,4,3,100
2009.5,23.3,8,2,100
2009.5833333,,4,0,
2009.6666667,6.2,5,3,100
2009.75,13.8,12,5,33
2009.8333333,0.3,13,11,18
2009.9166667,12.2,11,10,40
2010,1.8,7,4,0
2010.0833333,-3.5,12,3,0
2010.1666667,0.9,8,5,0
2010.25,12.5,15,12,50
2010.3333333,2.1,16,9,11
2010.4166667,8.3,14,7,0
2010.5,6.9,15,9,22
2010.5833333,12.3,15,7,57
2010.6666667,14.1,16,8,12
2010.75,11.5,15,4,0
2010.8333333,11.6,25,10,10
2010.9166667,10.5,26,11,41
2011,8.7,20,11,20
2011.0833333,15.1,16,4,75
2011.1666667,8.4,21,14,33
2011.25,11.7,13,6,67
2011.3333333,16.8,22,8,44
2011.4166667,14.1,29,12,50
2011.5,8.8,18,6,50
2011.5833333,27.6,17,11,55
2011.6666667,30,5,1,0
2011.75,,3,0,
2011.8333333,17.9,8,2,0
2011.9166667,8.7,18,11,36
2012,1.8,10,6,50
2012.0833333,9.1,6,4,25
2012.1666667,20,20,16,12
2012.25,24.6,24,17,47
2012.3333333,17.8,20,12,45
2012.4166667,14.9,13,6,67
2012.5,12.3,8,3,33
2012.5833333,15.9,19,9,56
2012.6666667,14.9,11,6,17
2012.75,29.6,10,2,50
2012.8333333,14.2,28,14,53
2012.9166667,2.4,12,3,50
2013,24.2,8,2,0
2013.0833333,17.8,13,7,57
2013.1666667,32.3,10,4,75
2013.25,13.9,17,9,44
2013.3333333,13.6,16,10,60
2013.4166667,17,31,17,41
2013.5,19.3,25,18,33
2013.5833333,19.3,23,15,33
2013.6666667,20.7,16,12,50
2013.75,30.1,24,18,50
2013.8333333,24.1,33,19,56
2013.9166667,20.8,31,20,50
2014,24.1,13,9,22
2014.0833333,27.6,19,15,33
2014.1666667,9.4,23,20,25
2014.25,28.8,32,23,52
2014.3333333,10.4,28,19,21
2014.4166667,10.5,23,12,8
2014.5,13.3,32,23,39
2014.5833333,12.3,37,27,22
2014.6666667,11.4,14,7,29
2014.75,22.2,17,11,36
2014.8333333,5.2,36,20,25
2014.9166667,15.7,28,17,29
2015,23.6,16,12,50
2015.0833333,30.1,14,10,50
2015.1666667,-6,12,5,40
2015.25,4.5,10,4,25
2015.3333333,30.3,17,13,54
2015.4166667,6.3,23,12,33
2015.5,29.3,30,24,48
2015.5833333,24.6,23,15,64
2015.6666667,19.4,10,8,50
2015.75,38,7,2,100
2015.8333333,3.6,20,15,7
2015.9166667,13.3,14,9,0
2016,32.3,2,1,100
2016.0833333,,0,0,
2016.1666667,-4.3,5,3,0
